,Date,vendors,Debit,Credit,account
535,2023-12-27,Ravi,45.0,0.0,chequing
536,2023-12-27,KUNG,23.05,0.0,chequing
537,2023-12-27,SQ,7.0,0.0,chequing
538,2023-12-27,Mind Games,84.72,0.0,chequing
539,2023-12-27,Mind Games,23.15,0.0,chequing
540,2023-12-22,Walmart Paycheque,0.0,392.41,chequing
541,2023-12-21,GM Paycheque,0.0,441.21,chequing
542,2023-12-18,Tim Hortons,5.85,0.0,chequing
543,2023-12-18,ajith,18.75,0.0,chequing
544,2023-12-18,Nirvana,101.7,0.0,chequing
545,2023-12-18,FRESHCO,12.38,0.0,chequing
546,2023-12-18,Vending Machine,3.0,0.0,chequing
547,2023-12-15,FRESHCO,26.57,0.0,chequing
548,2023-12-14,Tim Hortons,5.74,0.0,chequing
550,2023-12-14,WALMART,7.16,0.0,chequing
551,2023-12-14,WALMART,1.49,0.0,chequing
552,2023-12-14,GM Paycheque,0.0,435.81,chequing
553,2023-12-13,FRESHCO,23.1,0.0,chequing
556,2023-12-11,Vending Machine,2.75,0.0,chequing
557,2023-12-08,Vending Machine,2.75,0.0,chequing
558,2023-12-08,FRESHCO,23.22,0.0,chequing
560,2023-12-07,Budget Bud,6.34,0.0,chequing
561,2023-12-07,GM Paycheque,0.0,545.77,chequing
562,2023-12-06,Tim Hortons,6.53,0.0,chequing
564,2023-12-06,WALMART,5.96,0.0,chequing
565,2023-12-05,FRESHCO,26.12,0.0,chequing
566,2023-12-05,GIC Deposit,0.0,730.0,chequing
567,2023-12-05,Remitly Transaction,249.56,0.0,chequing
568,2023-12-04,FRESHCO,21.33,0.0,chequing
569,2023-12-04,Tim Hortons,2.93,0.0,chequing
570,2023-12-04,WALMART,27.69,0.0,chequing
573,2023-11-30,Service Charge Discount,0.0,16.95,chequing
574,2023-11-30,Service Charge,16.95,0.0,chequing
575,2023-11-30,GM Paycheque,0.0,355.93,chequing
576,2023-11-30,Beer Store,9.95,0.0,chequing
577,2023-11-30,FRESHCO,10.62,0.0,chequing
578,2023-11-29,FRESHCO,13.3,0.0,chequing
579,2023-11-28,FRESHCO,54.28,0.0,chequing
581,2023-11-27,PICOCOOLER,8.7,0.0,chequing
582,2023-11-27,Vending Machine,3.0,0.0,chequing
583,2023-11-27,Presse Cafe,8.87,0.0,chequing
584,2023-11-27,Vending Machine,2.25,0.0,chequing
585,2023-11-27,Presse Cafe,8.75,0.0,chequing
586,2023-11-24,PICOCOOLER,7.7,0.0,chequing
587,2023-11-24,Walmart Paycheque,0.0,131.81,chequing
588,2023-11-23,Sport Chek,43.49,0.0,chequing
589,2023-11-23,Joyal,2000.0,0.0,chequing
590,2023-11-23,GM Paycheque,0.0,380.95,chequing
591,2023-11-23,Smoothie UOIT,10.16,0.0,chequing
592,2023-11-21,Smoothie UOIT,7.9,0.0,chequing
593,2023-11-20,Vending Machine,2.75,0.0,chequing
594,2023-11-20,PRESTO,3.35,0.0,chequing
595,2023-11-20,YOGEN,7.35,0.0,chequing
596,2023-11-17,Beer Store,3.75,0.0,chequing
597,2023-11-17,FRESHCO,48.18,0.0,chequing
599,2023-11-16,GM Paycheque,0.0,190.54,chequing
600,2023-11-16,GM Paycheque,0.0,809.53,chequing
601,2023-11-16,Tim Hortons,2.61,0.0,chequing
602,2023-11-14,Tim Hortons,12.74,0.0,chequing
603,2023-11-14,FRESHCO,36.79,0.0,chequing
604,2023-11-14,LCBO,48.9,0.0,chequing
605,2023-11-14,Vending Machine,2.5,0.0,chequing
606,2023-11-14,Vending Machine,2.75,0.0,chequing
607,2023-11-14,FRESHCO,3.38,0.0,chequing
608,2023-11-10,Walmart Paycheque,0.0,609.82,chequing
609,2023-11-10,Vending Machine,3.5,0.0,chequing
610,2023-11-10,Vending Machine,2.75,0.0,chequing
611,2023-11-09,Vending Machine,2.5,0.0,chequing
612,2023-11-09,Vending Machine,2.75,0.0,chequing
613,2023-11-09,Vending Machine,2.75,0.0,chequing
614,2023-11-09,MISC,3.5,0.0,chequing
615,2023-11-09,Vending Machine,2.5,0.0,chequing
616,2023-11-08,Vending Machine,2.75,0.0,chequing
617,2023-11-08,FRESHCO,24.24,0.0,chequing
618,2023-11-08,MISC,3.5,0.0,chequing
619,2023-11-07,Vending Machine,2.75,0.0,chequing
620,2023-11-07,Tomi,400.0,0.0,chequing
621,2023-11-07,GIC Deposit,0.0,730.0,chequing
622,2023-11-07,FIDO Bill,57.63,0.0,chequing
623,2023-11-07,Vending Machine,2.75,0.0,chequing
624,2023-11-06,Remitly Transaction,249.56,0.0,chequing
625,2023-11-06,Tim Hortons,3.66,0.0,chequing
626,2023-11-06,Tim Hortons,2.61,0.0,chequing
627,2023-11-06,WALMART,5.6,0.0,chequing
628,2023-11-03,Tim Hortons,7.65,0.0,chequing
629,2023-11-02,Tim Hortons,3.66,0.0,chequing
630,2023-11-02,KFC,8.79,0.0,chequing
631,2023-11-01,WALMART,5.77,0.0,chequing
633,2023-10-31,Service Charge Discount,0.0,16.95,chequing
634,2023-10-31,Service Charge,16.95,0.0,chequing
635,2023-10-31,Tim Hortons,1.67,0.0,chequing
636,2023-10-30,FRESHCO,7.29,0.0,chequing
637,2023-10-30,FRESHCO,31.8,0.0,chequing
639,2023-10-27,Tim Hortons,4.95,0.0,chequing
640,2023-10-27,New York Fries,10.16,0.0,chequing
641,2023-10-27,Sport Chek,54.24,0.0,chequing
642,2023-10-27,Walmart Paycheque,0.0,976.34,chequing
643,2023-10-25,Remitly Transaction,248.94,0.0,chequing
644,2023-10-19,Yash,0.0,3.37,chequing
645,2023-10-16,Beer Store,17.95,0.0,chequing
646,2023-10-16,Tomi,400.0,0.0,chequing
648,2023-10-13,Walmart Paycheque,0.0,487.59,chequing
649,2023-10-12,Tim Hortons,9.92,0.0,chequing
650,2023-10-12,Tim Hortons,5.45,0.0,chequing
651,2023-10-11,Tim Hortons,1.05,0.0,chequing
653,2023-10-11,GIC Deposit,0.0,730.0,chequing
654,2023-10-11,WALMART,3.37,0.0,chequing
655,2023-10-11,WALMART,4.83,0.0,chequing
656,2023-10-11,FRESHCO,33.77,0.0,chequing
659,2023-10-10,Tim Hortons,2.97,0.0,chequing
660,2023-10-10,Tim Hortons,6.19,0.0,chequing
661,2023-10-10,FIDO Bill,56.5,0.0,chequing
662,2023-10-10,WALMART,9.94,0.0,chequing
663,2023-10-10,Tim Hortons,5.63,0.0,chequing
664,2023-10-05,FRESHCO,17.72,0.0,chequing
665,2023-10-05,Tim Hortons,2.97,0.0,chequing
666,2023-10-04,Tim Hortons,1.05,0.0,chequing
667,2023-10-03,Tim Hortons,5.63,0.0,chequing
668,2023-10-03,WALMART,5.4,0.0,chequing
669,2023-10-03,WALMART,142.24,0.0,chequing
670,2023-10-03,FRESHCO,4.72,0.0,chequing
671,2023-10-03,WALMART,16.57,0.0,chequing
672,2023-10-03,MCDONALD'S,4.08,0.0,chequing
673,2023-09-29,Service Charge Discount,0.0,16.95,chequing
674,2023-09-29,Service Charge,16.95,0.0,chequing
675,2023-09-29,MCDONALD'S,3.03,0.0,chequing
676,2023-09-28,Subway,12.31,0.0,chequing
677,2023-09-28,WALMART,2.57,0.0,chequing
678,2023-09-26,Tim Hortons,7.89,0.0,chequing
679,2023-09-26,FRESHCO,26.78,0.0,chequing
680,2023-09-26,Tim Hortons,8.22,0.0,chequing
681,2023-09-25,Tim Hortons,3.45,0.0,chequing
682,2023-09-25,Beer Store,15.95,0.0,chequing
685,2023-09-25,Beer Store,2.95,0.0,chequing
686,2023-09-22,Tim Hortons,4.18,0.0,chequing
687,2023-09-21,FRESHCO,22.22,0.0,chequing
688,2023-09-21,Vending Machine,4.25,0.0,chequing
689,2023-09-19,MISC,4.25,0.0,chequing
690,2023-09-19,Tim Hortons,2.4,0.0,chequing
691,2023-09-19,Siddharth,0.0,100.0,chequing
692,2023-09-19,FRESHCO,7.07,0.0,chequing
693,2023-09-19,LCBO,42.45,0.0,chequing
695,2023-09-18,Tim Hortons,9.84,0.0,chequing
696,2023-09-18,FRESHCO,9.11,0.0,chequing
697,2023-09-15,Tim Hortons,5.64,0.0,chequing
698,2023-09-15,WALMART,0.37,0.0,chequing
699,2023-09-15,WALMART,6.0,0.0,chequing
702,2023-09-12,GIC Deposit,0.0,730.0,chequing
703,2023-09-11,Durham College,4000.0,0.0,chequing
706,2023-09-08,FIDO Bill,45.2,0.0,chequing
707,2023-09-07,JOYAL,0.0,2000.0,chequing
709,2023-08-31,Service Charge Discount,0.0,6.95,chequing
710,2023-08-31,Service Charge,6.95,0.0,chequing
712,2023-08-30,Durham College,3000.0,0.0,chequing
716,2023-08-25,Instacart,0.0,17.3,chequing
717,2023-08-25,Instacart,16.81,0.0,chequing
718,2023-08-23,Instacart,17.3,0.0,chequing
720,2023-08-15,GIC Deposit,0.0,730.0,chequing
721,2023-07-31,Service Charge Discount,0.0,6.95,chequing
722,2023-07-31,Service Charge,6.95,0.0,chequing
726,2023-07-18,GIC Deposit,0.0,730.0,chequing
727,2023-07-10,Siddharth,100.0,0.0,chequing
728,2023-07-10,FIDO Bill,45.62,0.0,chequing
729,2023-06-30,Service Charge Discount,0.0,6.95,chequing
730,2023-06-30,Service Charge,6.95,0.0,chequing
733,2023-06-22,GIC Deposit,0.0,730.0,chequing
735,2023-06-13,FIDO Bill,48.49,0.0,chequing
736,2023-05-31,Service Charge Discount,0.0,6.95,chequing
737,2023-05-31,Service Charge,6.95,0.0,chequing
739,2023-05-25,GIC Deposit,0.0,730.0,chequing
740,2023-05-23,Siddharth,300.0,0.0,chequing
