,Date,vendors,Debit,Credit,account
122,2024-05-21,WALMART,23.75,0.0,chequing
123,2024-05-21,WENDY'S,12.87,0.0,chequing
124,2024-05-21,MCDONALD'S,3.45,0.0,chequing
126,2024-05-21,UBER,19.4,0.0,chequing
127,2024-05-21,Siddharth,0.0,10.0,chequing
128,2024-05-21,Northern Helm Cannabis,20.34,0.0,chequing
129,2024-05-21,Siddharth,0.0,5.0,chequing
130,2024-05-21,UBER,9.3,0.0,chequing
131,2024-05-21,Subway,11.29,0.0,chequing
132,2024-05-21,FRESHCO,0.99,0.0,chequing
133,2024-05-21,FRESHCO,3.77,0.0,chequing
134,2024-05-21,DOLLARAMA,13.56,0.0,chequing
135,2024-05-21,LCBO,31.45,0.0,chequing
136,2024-05-21,ODD Burger,13.55,0.0,chequing
137,2024-05-16,Affirm,253.37,0.0,chequing
138,2024-05-15,WALMART,3.53,0.0,chequing
139,2024-05-15,UBER,18.64,0.0,chequing
140,2024-05-14,WALMART,53.66,0.0,chequing
141,2024-05-14,No Frills,23.49,0.0,chequing
142,2024-05-13,MARK'S,54.21,0.0,chequing
143,2024-05-13,Tim Hortons,2.99,0.0,chequing
144,2024-05-13,Tim Hortons,5.18,0.0,chequing
145,2024-05-13,WALMART,11.06,0.0,chequing
146,2024-05-13,UBER,19.21,0.0,chequing
147,2024-05-13,UBER,16.47,0.0,chequing
148,2024-05-13,Beer Store,3.0,0.0,chequing
149,2024-05-13,WALMART,2.7,0.0,chequing
150,2024-05-13,WALMART,11.65,0.0,chequing
151,2024-05-13,UBER,18.7,0.0,chequing
152,2024-05-10,Mission Thrift,9.03,0.0,chequing
153,2024-05-10,HABIB,25.6,0.0,chequing
155,2024-05-10,Walmart Paycheque,0.0,749.12,chequing
156,2024-05-09,MCDONALD'S,16.26,0.0,chequing
157,2024-05-08,Tim Hortons,3.66,0.0,chequing
158,2024-05-08,WALMART,6.0,0.0,chequing
159,2024-05-08,MCDONALD'S,5.96,0.0,chequing
160,2024-05-08,UBER,17.77,0.0,chequing
162,2024-05-08,DOMINOS,11.29,0.0,chequing
163,2024-05-07,GO transit,2.0,0.0,chequing
164,2024-05-07,WALMART,26.49,0.0,chequing
165,2024-05-07,MCDONALD'S,1.33,0.0,chequing
166,2024-05-07,UBER,17.59,0.0,chequing
167,2024-05-06,MISC,3.5,0.0,chequing
168,2024-05-06,No Frills,11.49,0.0,chequing
169,2024-05-06,Amazon.ca,16.9,0.0,chequing
171,2024-05-06,UBER Eats,19.75,0.0,chequing
172,2024-05-02,DOLLARAMA,13.33,0.0,chequing
173,2024-05-02,Siddharth,0.0,15.5,chequing
174,2024-05-02,Home Rent,500.0,0.0,chequing
176,2024-05-01,Siddharth,100.0,0.0,chequing
177,2024-05-01,WALMART,9.81,0.0,chequing
178,2024-05-01,Remitly Transaction,253.08,0.0,chequing
179,2024-05-01,MCDONALD'S,2.3,0.0,chequing
180,2024-05-01,UBER,17.6,0.0,chequing
181,2024-04-30,Service Charge Discount,0.0,16.95,chequing
182,2024-04-30,Service Charge,16.95,0.0,chequing
183,2024-04-30,UBER,9.39,0.0,chequing
184,2024-04-30,DOLLARAMA,11.15,0.0,chequing
185,2024-04-30,MCDONALD'S,6.77,0.0,chequing
186,2024-04-30,UBER,16.76,0.0,chequing
187,2024-04-30,PETRO,25.0,0.0,chequing
188,2024-04-30,ChatGPT,31.69,0.0,chequing
189,2024-04-30,Tim Hortons,3.66,0.0,chequing
190,2024-04-29,WALMART,67.81,0.0,chequing
191,2024-04-29,Tim Hortons,7.88,0.0,chequing
192,2024-04-29,RUCHI,5.65,0.0,chequing
193,2024-04-26,WALMART,9.79,0.0,chequing
194,2024-04-26,MCDONALD'S,5.96,0.0,chequing
195,2024-04-26,UBER,19.54,0.0,chequing
196,2024-04-26,Walmart Paycheque,0.0,631.19,chequing
197,2024-04-25,Cannabis Street,19.2,0.0,chequing
198,2024-04-25,WALMART,15.98,0.0,chequing
200,2024-04-25,UBER,55.57,0.0,chequing
201,2024-04-24,WALMART,22.75,0.0,chequing
202,2024-04-24,UBER,17.5,0.0,chequing
203,2024-04-23,Tim Hortons,11.29,0.0,chequing
204,2024-04-23,Youtube Music,6.2,0.0,chequing
205,2024-04-23,Foot Locker,115.26,0.0,chequing
207,2024-04-22,solomon,6.0,0.0,chequing
208,2024-04-22,WALMART,6.36,0.0,chequing
209,2024-04-22,MCDONALD'S,5.15,0.0,chequing
210,2024-04-22,UBER,21.57,0.0,chequing
212,2024-04-22,CRA Deposit,0.0,814.13,chequing
213,2024-04-22,PRESTO,10.0,0.0,chequing
214,2024-04-22,INS Market,6.0,0.0,chequing
215,2024-04-19,BENNYS,7.91,0.0,chequing
216,2024-04-19,Durham College,15.0,0.0,chequing
217,2024-04-19,Tomi,100.0,0.0,chequing
218,2024-04-17,UBER,3.64,0.0,chequing
219,2024-04-17,WALMART,24.25,0.0,chequing
220,2024-04-16,Tim Hortons,5.45,0.0,chequing
221,2024-04-15,Tim Hortons,1.92,0.0,chequing
222,2024-04-15,DOLLARAMA,3.39,0.0,chequing
223,2024-04-15,LCBO,37.95,0.0,chequing
225,2024-04-15,WALMART,4.34,0.0,chequing
226,2024-04-15,MCDONALD'S,5.85,0.0,chequing
227,2024-04-15,UBER,19.29,0.0,chequing
228,2024-04-15,maya,6.78,0.0,chequing
229,2024-04-15,UBER,17.39,0.0,chequing
230,2024-04-15,WALMART,8.75,0.0,chequing
231,2024-04-15,MCDONALD'S,4.95,0.0,chequing
232,2024-04-15,No Frills,41.55,0.0,chequing
233,2024-04-15,Bud Runners,18.07,0.0,chequing
234,2024-04-12,hemant,15.0,0.0,chequing
235,2024-04-12,Walmart Paycheque,0.0,773.2,chequing
236,2024-04-10,UBER,17.44,0.0,chequing
237,2024-04-08,Papa John's,25.98,0.0,chequing
238,2024-04-08,WALMART,11.52,0.0,chequing
239,2024-04-08,MCDONALD'S,4.2,0.0,chequing
240,2024-04-08,UBER,17.35,0.0,chequing
241,2024-04-05,Cannabis Street,28.24,0.0,chequing
242,2024-04-05,MCDONALD'S,5.96,0.0,chequing
243,2024-04-05,hemant,40.0,0.0,chequing
244,2024-04-04,WALMART,11.99,0.0,chequing
245,2024-04-04,WALMART,19.44,0.0,chequing
246,2024-04-04,WALMART,5.24,0.0,chequing
247,2024-04-04,MCDONALD'S,5.15,0.0,chequing
248,2024-04-04,UBER,17.35,0.0,chequing
249,2024-04-04,Smoothie UOIT,3.39,0.0,chequing
250,2024-04-03,Lucky Supermarket,8.08,0.0,chequing
251,2024-04-03,MCDONALD'S,2.3,0.0,chequing
252,2024-04-03,MCDONALD'S,1.33,0.0,chequing
253,2024-04-03,UBER,17.36,0.0,chequing
254,2024-04-02,UBER Refund,0.0,19.51,chequing
255,2024-04-02,Home Rent,500.0,0.0,chequing
256,2024-04-02,MISC,4.0,0.0,chequing
257,2024-04-01,No Frills,36.03,0.0,chequing
258,2024-04-01,SHOPPERS,3.94,0.0,chequing
259,2024-04-01,Vending Machine,4.0,0.0,chequing
260,2024-04-01,Remitly Transaction,249.31,0.0,chequing
261,2024-04-01,Playstation,15.11,0.0,chequing
262,2024-04-01,Siddharth,0.0,14.0,chequing
263,2024-04-01,ChatGPT,31.42,0.0,chequing
264,2024-04-01,UBER,19.51,0.0,chequing
